1 603 604 92 91
2 604 290 8 92
3 605 606 604 603
4 606 291 290 604
5 53 607 89 1
6 607 608 90 89
7 608 603 91 90
8 54 609 607 53
9 609 610 608 607
10 610 605 603 608
11 606 611 292 291
12 611 612 293 292
13 612 103 12 293
14 605 613 611 606
15 613 614 612 611
16 614 104 103 612
17 54 3 282 609
18 609 282 281 610
19 610 281 280 605
20 280 279 613 605
21 279 278 614 613
22 278 13 104 614
23 75 355 52 1
24 355 356 51 52
25 356 357 50 51
26 357 358 49 50
27 358 74 2 49
28 76 359 355 75
29 359 360 356 355
30 360 361 357 356
31 361 362 358 357
32 362 73 74 358
33 77 363 359 76
34 363 364 360 359
35 364 365 361 360
36 365 366 362 361
37 366 72 73 362
38 78 367 363 77
39 367 368 364 363
40 368 369 365 364
41 369 370 366 365
42 370 71 72 366
43 79 371 367 78
44 371 372 368 367
45 372 373 369 368
46 373 374 370 369
47 374 70 71 370
48 6 69 371 79
49 69 68 372 371
50 68 67 373 372
51 67 66 374 373
52 66 7 70 374
53 407 116 15 110
54 408 115 116 407
55 409 114 115 408
56 117 410 111 16
57 410 407 110 111
58 118 411 410 117
59 411 408 407 410
60 119 412 411 118
61 412 409 408 411
62 119 120 413 412
63 120 10 93 413
64 412 413 414 409
65 413 93 94 414
66 94 95 415 414
67 95 96 416 415
68 96 11 121 416
69 414 415 417 409
70 415 416 418 417
71 416 121 122 418
72 122 17 112 418
73 418 112 113 417
74 417 113 114 409
75 635 300 5 65
76 636 299 300 635
77 637 298 299 636
78 311 638 64 4
79 638 635 65 64
80 312 639 638 311
81 639 636 635 638
82 313 640 639 312
83 640 637 636 639
84 637 641 297 298
85 641 642 296 297
86 642 101 14 296
87 102 643 134 11
88 643 644 135 134
89 644 645 136 135
90 101 642 643 102
91 642 641 644 643
92 641 637 645 644
93 645 646 137 136
94 646 314 20 137
95 637 640 646 645
96 640 313 314 646
97 166 455 123 18
98 455 456 124 123
99 167 457 455 166
100 457 458 456 455
101 168 459 457 167
102 459 460 458 457
103 456 174 19 124
104 458 173 174 456
105 460 172 173 458
106 144 461 175 22
107 461 462 176 175
108 462 463 177 176
109 143 464 461 144
110 464 465 462 461
111 465 460 463 462
112 463 466 178 177
113 466 169 27 178
114 460 459 466 463
115 459 168 169 466
116 170 464 143 21
117 171 465 464 170
118 172 460 465 171
119 431 432 139 140
120 432 433 138 139
121 433 110 15 138
122 143 434 142 21
123 434 435 141 142
124 435 431 140 141
125 433 436 111 110
126 436 145 16 111
127 432 437 436 433
128 437 146 145 436
129 431 438 437 432
130 438 147 146 437
131 143 144 439 434
132 144 22 149 439
133 434 439 440 435
134 439 149 150 440
135 435 440 441 431
136 440 150 151 441
137 151 152 442 441
138 152 23 148 442
139 441 442 438 431
140 442 148 147 438
141 35 210 499 222
142 210 211 500 499
143 211 212 501 500
144 212 213 502 501
145 213 30 196 502
146 222 499 503 221
147 499 500 504 503
148 500 501 505 504
149 501 502 506 505
150 502 196 195 506
151 221 503 507 220
152 503 504 508 507
153 504 505 509 508
154 505 506 510 509
155 506 195 194 510
156 220 507 511 219
157 507 508 512 511
158 508 509 513 512
159 509 510 514 513
160 510 194 193 514
161 219 511 515 218
162 511 512 516 515
163 512 513 517 516
164 513 514 518 517
165 514 193 192 518
166 218 515 217 36
167 515 516 216 217
168 516 517 215 216
169 517 518 214 215
170 518 192 28 214
171 192 467 182 28
172 467 468 181 182
173 468 469 180 181
174 469 470 179 180
175 470 191 29 179
176 193 471 467 192
177 471 472 468 467
178 472 473 469 468
179 473 474 470 469
180 474 190 191 470
181 194 475 471 193
182 475 476 472 471
183 476 477 473 472
184 477 478 474 473
185 478 189 190 474
186 195 479 475 194
187 479 480 476 475
188 480 481 477 476
189 481 482 478 477
190 482 188 189 478
191 196 483 479 195
192 483 484 480 479
193 484 485 481 480
194 485 486 482 481
195 486 187 188 482
196 30 186 483 196
197 186 185 484 483
198 185 184 485 484
199 184 183 486 485
200 183 31 187 486
201 571 572 203 204
202 572 265 32 203
203 573 574 572 571
204 574 266 265 572
205 575 576 574 573
206 576 267 266 574
207 259 571 204 34
208 258 573 571 259
209 257 575 573 258
210 576 577 268 267
211 577 178 27 268
212 575 578 577 576
213 578 177 178 577
214 578 579 176 177
215 579 580 175 176
216 580 157 22 175
217 575 581 579 578
218 581 582 580 579
219 582 158 157 580
220 582 255 24 158
221 581 256 255 582
222 575 257 256 581
223 34 248 551 259
224 248 249 552 551
225 249 40 250 552
226 259 551 553 258
227 551 552 554 553
228 552 250 251 554
229 258 553 555 257
230 553 554 556 555
231 554 251 252 556
232 257 555 557 256
233 555 556 558 557
234 556 252 253 558
235 256 557 559 255
236 557 558 560 559
237 558 253 254 560
238 255 559 237 24
239 559 560 238 237
240 560 254 39 238
241 232 539 164 25
242 233 540 539 232
243 234 541 540 233
244 539 542 165 164
245 542 244 26 165
246 540 543 542 539
247 543 245 244 542
248 541 544 543 540
249 544 246 245 543
250 202 545 236 33
251 545 546 235 236
252 546 541 234 235
253 202 201 547 545
254 201 30 213 547
255 545 547 548 546
256 547 213 212 548
257 546 548 549 541
258 548 212 211 549
259 211 210 550 549
260 210 35 247 550
261 549 550 544 541
262 550 247 246 544
263 231 519 223 37
264 519 520 224 223
265 520 232 25 224
266 230 521 519 231
267 521 522 520 519
268 522 233 232 520
269 229 523 521 230
270 523 524 522 521
271 524 234 233 522
272 228 525 523 229
273 525 526 524 523
274 526 235 234 524
